city,latitude,longitude,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,timestamp,date,hour,day_of_week,month,month_name,year,is_weekend,season
Lahore,31.5497,74.3436,260.29,62.52,131.58,1.08,2.22,99.13,2026-07-12 16:02:51,2026-07-12,16,Sunday,7,July,2026,True,Summer
Faisalabad,31.418,73.079,271.12,77.12,191.06,2,2.79,100.82,2026-07-12 16:02:53,2026-07-12,16,Sunday,7,July,2026,True,Summer
Karachi,24.8607,67.0011,137.13,32.94,72.08,0.07,0.67,50.49,2026-07-12 16:02:54,2026-07-12,16,Sunday,7,July,2026,True,Summer
Islamabad,33.6844,73.0479,55.84,42.65,364.99,1.48,1.71,137.59,2026-07-12 16:02:54,2026-07-12,16,Sunday,7,July,2026,True,Summer
Multan,30.1575,71.5249,269.69,63.5,117.05,0.69,1.79,80.87,2026-07-12 16:02:55,2026-07-12,16,Sunday,7,July,2026,True,Summer
Peshawar,34.0151,71.5249,57.97,43.44,303.48,0.69,0.73,126.3,2026-07-12 16:02:56,2026-07-12,16,Sunday,7,July,2026,True,Summer
Quetta,30.1798,66.975,90.52,17.83,68.74,0.11,0.11,111.08,2026-07-12 16:02:57,2026-07-12,16,Sunday,7,July,2026,True,Summer
Rahim Yar Khan,28.4202,70.2952,345.43,72.57,97.82,0.29,2.11,88.84,2026-07-12 16:02:57,2026-07-12,16,Sunday,7,July,2026,True,Summer
Rawalpindi,33.5651,73.0169,59.65,44.89,356.84,1.46,1.52,134.57,2026-07-12 16:02:58,2026-07-12,16,Sunday,7,July,2026,True,Summer
Sialkot,32.4945,74.5229,181.98,78.33,312.31,3.23,6.92,135.82,2026-07-12 16:02:59,2026-07-12,16,Sunday,7,July,2026,True,Summer
